Joshua 1:9,"Do not be frightened, and do not be dismayed, for the LORD your God is with you wherever you go."
Lamentations 3:22-23,The steadfast love of the LORD never ceases; his mercies never come to an end; they are new every morning; great is your faithfulness.
Proverbs 3:5-6,"Trust in the LORD with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths."
Proverbs 18:10,The name of the LORD is a strong tower; the righteous man runs into it and is safe.
Psalm 16:8,"I have set the LORD always before me; because he is at my right hand, I shall not be shaken."
Psalm 23:4,"Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me."
Psalm 31:24,"Be strong, and let your heart take courage, all you who wait for the LORD!"
Psalm 46:7,The LORD of hosts is with us; the God of Jacob is our fortress.
Psalm 55:22,"Cast your burden on the LORD, and he will sustain you; he will never permit the righteous to be moved."
Psalm 62:6,"He only is my rock and my salvation, my fortress; I shall not be shaken."
Psalm 118:14,The LORD is my strength and my song; he has become my salvation.
Psalm 119:114,You are my hiding place and my shield; I hope in your word.
Psalm 119:50,"This is my comfort in my affliction, that your promise gives me life."
Psalm 120:1,"In my distress I called to the LORD, and he answered me."
Isaiah 26:3,"You keep him in perfect peace whose mind is stayed on you, because he trusts in you."
Isaiah 40:31,But they who wait for the LORD shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.
Isaiah 41:10,"Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand."
Isaiah 43:2,"When you pass through the waters, I will be with you; and through the rivers, they shall not overwhelm you; when you walk through fire you shall not be burned, and the flame shall not consume you."
Matthew 11:28,"Come to me, all who labor and are heavy laden, and I will give you rest."
Mark 10:27,"Jesus said, ‘With man it is impossible, but not with God. For all things are possible with God."
John 16:33,In the world you will have tribulation. But take heart; I have overcome the world.
2 Corinthians 1:3,"Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort, who comforts us in all our affliction"
1 Thessalonians 5:11,Therefore encourage one another and build one another up.
Philippians 4:19,And my God will supply every need of yours according to his riches in glory in Christ Jesus.
1 Peter 5:7,"Casting all your anxieties on him, because he cares for you."
Philippians 4:13,I can do all things through him who strengthens me.
Deuteronomy 31:6,"Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you."
1 Corinthians 10:13,"God is faithful, and he will not let you be tempted beyond your ability."
Exodus 15:2,"The Lord is my strength and my song, and he has become my salvation; this is my God, and I will praise him, my father's God, and I will exalt him."
Ephesians 6:10,"Finally, be strong in the Lord and in the strength of his might."
Deuteronomy 20:4,"For the Lord your God is he who goes with you to fight for you against your enemies, to give you the victory."
2 Corinthians 12:9,"My grace is sufficient for you, for my power is made perfect in weakness."
2 Timothy 1:7,For God gave us a spirit not of fear but of power and love and self-control.
Isaiah 12:2,"Behold, God is my salvation; I will trust, and will not be afraid; for the Lord God is my strength and my song, and he has become my salvation."
Isaiah 40:29,"He gives power to the faint, and to him who has no might he increases strength."
Psalm 27:1,The Lord is my light and my salvation; whom shall I fear? The Lord is the stronghold of my life; of whom shall I be afraid?
Psalm 73:26,"My flesh and my heart may fail, but God is the strength of my heart and my portion forever."
Psalm 46:1,"God is our refuge and strength, a very present help in trouble."
Psalm 29:11,May the Lord give strength to his people! May the Lord bless his people with peace.
Matthew 6:33,"But seek first the kingdom of God and his righteousness, and all these things will be added to you."
Numbers 6:24-25,The Lord bless you and keep you; the Lord make his face to shine upon you and be gracious to you; 
Numbers 6:26,The Lord lift up his countenance upon you and give you peace.
Ephesians 1:3,"Blessed be the God and Father of our Lord Jesus Christ, who has blessed us in Christ with every spiritual blessing in the heavenly places"
2 Corinthians 9:8,"And God is able to make all grace abound to you, so that having all sufficiency in all things at all times, you may abound in every good work."
James 1:17,"Every good gift and every perfect gift is from above, coming down from the Father of lights with whom there is no variation or shadow due to change."
Jeremiah 17:7,"Blessed is the man who trusts in the Lord, whose trust is the Lord."
John 1:16,"And from his fullness we have all received, grace upon grace."
Jeremiah 29:11,"For I know the plans I have for you”, declares the Lord, “plans for welfare and not for evil, to give you a future and a hope."
Genesis 12:2,"And I will make of you a great nation, and I will bless you and make your name great, so that you will be a blessing."
3 John 1:2,"Beloved, I pray that all may go well with you and that you may be in good health, as it goes well with your soul."
Proverbs 10:22,"The blessing of the Lord makes rich, and he adds no sorrow with it."
Psalm 34:8,"Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!"
James 1:12,"Blessed is the man who remains steadfast under trial, for when he has stood the test he will receive the crown of life, which God has promised to those who love him."
1 Peter 3:9,"Do not repay evil for evil or reviling for reviling, but on the contrary, bless, for to this you were called, that you may obtain a blessing."
Proverbs 16:3,"Commit your work to the Lord, and your plans will be established."
Deuteronomy 28:1,"And if you faithfully obey the voice of the Lord your God, being careful to do all his commandments that I command you today, the Lord your God will set you high above all the nations of the earth."
Deuteronomy 28:2,"And all these blessings shall come upon you and overtake you, if you obey the voice of the Lord your God."
Romans 12:14,Bless those who persecute you; bless and do not curse them.
Psalm 20:4,May he grant you your heart’s desire and fulfill all your plans
Exodus 23:25,"You shall serve the Lord your God, and he will bless your bread and your water, and I will take sickness away from among you."
Matthew 5:9,"Blessed are the peacemakers, for they shall be called sons of God."
2 Corinthians 13:14,The grace of the Lord Jesus Christ and the love of God and the fellowship of the Holy Spirit be with you all.
Proverbs 16:20,"Whoever gives thought to the word will discover good, and blessed is he who trusts in the Lord."
Matthew 5:6,"Blessed are those who hunger and thirst for righteousness, for they shall be satisfied."
Philemon 1:25,The grace of the Lord Jesus Christ be with your spirit.
Philippians 4:7,"And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus."
Psalm 67:7,God shall bless us; let all the ends of the earth fear him!
Philippians 2:13,"For it is God who works in you, both to will and to work for his good purpose."
Luke 6:45,The good person out of the good treasure of his heart produces good
Psalm 33:12,"Blessed is the nation whose God is the Lord, the people whom he has chosen as his heritage!"
Deuteronomy 28:8,The Lord will command the blessing on you in your barns and in all that you undertake. And he will bless you in the land that the Lord your God is giving you.
Proverbs 16:7,"When a man’s ways please the Lord, he makes even his enemies to be at peace with him."
Psalm 119:2,"Blessed are those who keep his testimonies, who seek him with their whole heart,"
Psalm 1:1,"Blessed is the man who walks not in the counsel of the wicked, nor stands in the way of sinners, nor sits in the seat of scoffers"
Proverbs 10:7,The memory of the righteous is a blessing.
Psalm 127:5,Blessed is the man who fills his quiver with them! He shall not be put to shame when he speaks with his enemies in the gate.
Psalm 84:11,For the Lord God is a sun and shield; the Lord bestows favor and honor. No good thing does he withhold from those who walk uprightly
Ephesians 3:20,"Now to him who is able to do far more abundantly than all that we ask or think, according to the power at work within us"
Psalm 146:5,"Blessed is he whose help is the God of Jacob, whose hope is in the Lord his God"
Psalm 3:8,Salvation belongs to the Lord; your blessing be on your people.
Genesis 27:28,May God give you of the dew of heaven and of the richness of the earth
Luke 1:37,For nothing will be impossible with God.
Matthew 25:21,"Well done, good and faithful servant. You have been faithful over a little; I will set you over much."
2 Samuel 22:4,"I will call upon the Lord, who is worthy to be praised, and I am saved from my enemies."
Romans 8:28,"And we know that for those who love God all things work together for good, for those who are called according to his purpose."
Psalm 5:12,"For you bless the righteous, O Lord; you cover him with favor as with a shield."
1 John 5:18,"We know that everyone who has been born of God does not keep on sinning, but he who was born of God protects him, and the evil one does not touch him."
Psalm 90:17,"Let the favor of the Lord our God be upon us, and establish the work of our hands upon us."
Romans 15:13,"May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope."
Ezekiel 34:26,"And I will make them and the places all around my hill a blessing, and I will send down the showers in their season; they shall be showers of blessing."
Isaiah 44:3,"I will pour my Spirit upon your offspring, and my blessing on your descendants."
Habakkuk 3:19,"God, the Lord, is my strength; he makes my feet like the deer's; he makes me tread on my high places"
James 1:5,"If any of you lacks wisdom, let him ask God, who gives generously to all without reproach, and it will be given him."
Zechariah 8:13,"O house of Judah and house of Israel, so I will save you, and you shall be a blessing. Fear not, but let your hands be strong."
Psalm 138:7,"Though I walk in the midst of trouble, you preserve my life; you stretch out your hand against the wrath of my enemies, and your right hand delivers me."
Psalm 29:11,May the Lord give strength to his people! May the Lord bless his people with peace!
Matthew 5:5,"Blessed are the meek, for they shall inherit the earth."
Colossians 1:11,"May you be strengthened with all power, according to his glorious might, for all endurance and patience with joy."
Philippians 1:6,"And I am sure of this, that he who began a good work in you will bring it to completion at the day of Jesus Christ."
1 Corinthians 2:9,"What no eye has seen, nor ear heard, nor the heart of man imagined, what God has prepared for those who love him"
Psalm 145:16,You open your hand; you satisfy the desire of every living thing.
Gen. 12:2,"And I will make of you a great nation, and I will bless you and make your name great, so that you will be a blessing."
Exod. 14:14,The Lord will fight for you; you need only to be still.
Exod. 15:26,"Saying, “If you will diligently listen to the voice of the Lord your God, and do that which is right in his eyes, and give ear to his commandments and keep all his statutes, I will put none of the diseases on you that I put on the Egyptians, for I am the Lord, your healer."
Job 22:26-28,"Surely then you will find delight in the Almighty and will lift up your face to God. You will pray to him, and he will hear you, and you will fulfill your vows. What you decide on will be done, and light will shine on your ways."
Gen. 28:15,"I am with you and will watch over you wherever you go, and I will bring you back to this land. I will not leave you until I have done what I have promised you"
Jer. 29:11," For I know the plans I have for you,” declares the LORD, “plans to prosper you and not to harm you, plans to give you hope and a future."
Jer. 33:6-7,"Nevertheless, I will bring health and healing to it; I will heal my people and will let them enjoy abundant peace and security. I will bring Judah and Israel back from captivityand will rebuild them as they were before."
Deut. 8:5-6,"Know then in your heart that as a man disciplines his son, so the Lord your God disciplines you. Observe the commands of the Lord your God, walking in obedience to him and revering him."
 Prov. 8:17-18,"I love those who love me, and those who seek me find me. With me are riches and honor, enduring wealth and prosperity."
Deut. 23:14," For the Lord your God moves about in your camp to protect you and to deliver your enemies to you. Your camp must be holy, so that he will not see among you anything indecent and turn away from you."
Deut. 28:8,"The Lord will command the blessing on you in your barns and in all that you undertake. And he will bless you in the land that the Lord your God is giving you.

"
 Deut. 28:13," The Lord will make you the head, not the tail. If you pay attention to the commands of the Lord your God that I give you this day and carefully follow them, you will always be at the top, never at the bottom."
Josh. 1:8-9,"Keep this Book of the Law always on your lips; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful. Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.”

"
I Sam. 12:24,"Only fear the Lord, and serve him in truth with all your heart: for consider how great things he hath done for you.

"
II Chr. 32:7-8,"Be strong and courageous, be not afraid nor dismayed for the king of Assyria, nor for all the multitude that is with him: for there be more with us than with him: With him is an arm of flesh; but with us is the Lord our God to help us, and to fight our battles. And the people rested themselves upon the words of Hezekiah king of Judah."
Job 11:13-15,"Yet if you devote your heart to him and stretch out your hands to him, if you put away the sin that is in your hand and allow no evil to dwell in your tent, then, free of fault, you will lift up your face; you will stand firm and without fear."
Job 22: 27-28,"You will pray to him, and he will hear you, and you will fulfill your vows. What you decide on will be done, and light will shine on your ways.
"
Psa. 1:1,"Blessed is the man who walks not in the counsel of the wicked, nor stands in the way of sinners, nor sits in the seat of scoffers.
"
Psa. 1:2-3,"But his delight is in the law of the Lord, and in His law he meditates day and night. He shall be like a tree Planted by the rivers of water, that brings forth its fruit in its season, whose leaf also shall not wither; and whatever he does shall prosper."
Psa. 2:11-12,"Serve the Lord with fear and celebrate his rule with trembling. Kiss his son, or he will be angry and your way will lead to your destruction, for his wrath can flare up in a moment. Blessed are all who take refuge in him.

"
Psa. 5:7-8,"But I, by your great love, can come into your house; in reverence I bow down toward your holy temple. Lead me, Lord, in your righteousness because of my enemies — make your way straight before me."
Psa. 20:1-2,"May the Lord answer you when you are in distress; may the name of the God of Jacob protect you. May he send you help from the sanctuary and grant you support from Zion.


"
Psa. 20:3-4,"May he remember all your sacrifices and accept your burnt offerings. May he give you the desire of your heart and make all your plans succeed.
"
Psa. 30:11-12,"You turned my wailing into dancing; you removed my sackcloth and clothed me with joy, that my heart may sing your praises and not be silent. Lord my God, I will praise you forever."
Psa. 32:7-8,You are my hiding place; you will protect me from trouble and surround me with songs of deliverance. I will instruct you and teach you in the way you should go; I will counsel you with my loving eye on you.
Psa. 34:8,"Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!"
Ps. 37:4-5,"Take delight in the Lord, and he will give you the desires of your heart. Commit your way to the Lord; trust in him and he will do this.



"
Psa. 73:23-25,"Yet I am always with you; you hold me by my right hand. You guide me with your counsel, and afterward you will take me into glory. Whom have I in heaven but you? And earth has nothing I desire besides you."
 Psa. 84:11,"For the Lord God is a sun and shield; the Lord bestows favor and honor. No good thing does he withhold from those who walk uprightly.
"
Psa. 86:11-12," Teach me your way, Lord, that I may rely on your faithfulness; give me an undivided heart, that I may fear your name. I will praise you, Lord my God, with all my heart; I will glorify your name forever.
"
 Psa. 145:18-19,"The Lord is near to all who call on him, to all who call on him in truth. He fulfills the desires of those who fear him; he hears their cry and saves them."
Psa. 146,"5Blessed is he whose help is the God of Jacob, whose hope is in the Lord his God.

"
 Psa. 147:13,"For he strengthens the bars of your gates; he blesses your children within you.
"
 Prov. 10:22,"The blessing of the Lord makes rich, and he adds no sorrow with it.
"
 Prov. 16:7,"When a man’s ways please the Lord, he makes even his enemies to be at peace with him."
Prov. 23:18-19,"There is surely a future hope for you, and your hope will not be cut off. Listen, my son, and be wise, and set your heart on the right path:
"
Ecc. 5:19,"Everyone also to whom God has given wealth and possessions and power to enjoy them, and to accept his lot and rejoice in his toil—this is the gift of God.

"
Isa. 1:19,"If you are willing and obedient, you shall eat the good of the land.
"
 Isa. 40:31,"But they who wait for the Lord shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.
"
Isa. 41:10,"So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand.
"
Isa. 43:1-2,"But now thus saith the Lord that created thee, O Jacob, and he that formed thee, O Israel, Fear not: for I have redeemed thee, I have called thee by thy name; thou art mine.When thou passest through the waters, I will be with thee; and through the rivers, they shall not overflow thee: when thou walkest through the fire, thou shalt not be burned; neither shall the flame kindle upon thee.
"
Isa. 54:17,"No weapon that is fashioned against you shall succeed, and you shall confute every tongue that rises against you in judgment. This is the heritage of the servants of the Lord and their vindication from me,” declares the Lord.


"
 Isa. 57:15,"For this is what the high and exalted One says — he who lives forever, whose name is holy: “I live in a high and holy place, but also with the one who is contrite and lowly in spirit, to revive the spirit of the lowly and to revive the heart of the contrite.
"
Isa. 58:11,"The Lord will guide you always; he will satisfy your needs in a sun-scorched land and will strengthen your frame. You will be like a well-watered garden, like a spring whose waters never fail."
Jer. 29:12-13,"Then you will call on me and come and pray to me, and I will listen to you. You will seek me and find me when you seek me with all your heart."
Joel 2:26,"You shall eat in plenty and be satisfied, and praise the name of the Lord your God, who has dealt wondrously with you. And my people shall never again be put to shame."
Habakkuk 3:19,"God, the Lord, is my strength; he makes my feet like the deer’s; he makes me tread on my high places. To the choirmaster: with stringed instruments.

"
 Malachi 4:2,"But for you who fear my name, the sun of righteousness shall rise with healing in its wings. You shall go out leaping like calves from the stall."
Lk. 6:38,"Give, and it will be given to you. Good measure, pressed down, shaken together, running over, will be put into your lap. For with the measure, you use it will be measured back to you."
Jn. 1:16,"And from his fullness we have all received, grace upon grace.
"
Jn. 14:27 ,I am leaving you with a gift—peace of mind and heart. And the peace I give is a gift the world cannot give. So don’t be troubled or afraid
Rom. 8:37-39 ,"No, despite all these things, overwhelming victory is ours through Christ, who loved us. And I am convinced that nothing can ever separate us from God’s love. Neither death nor life, neither angels nor demons, neither our fears for today nor our worries about tomorrow—not even the powers of hell can separate us from God’s love. No power in the sky above or in the earth below—indeed, nothing in all creation will ever be able to separate us from the love of God that is revealed in Christ Jesus our Lord.

"
Rom. 15:13,"May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope.
"
Cor. 2:9,"But, as it is written, What no eye has seen, nor ear heard, nor the heart of man imagined, what God has prepared for those who love him."
II Cor. 2:14 ,"Now thanks be unto God, who always causes us to triumph in Christ, and makes manifest the fragrance of his knowledge by us in every place.
"
2 Cor. 9:8,"And God is able to make all grace abound to you, so that having all sufficiency in all things at all times, you may abound in every good work.
"
2 Cor. 13:14,"The grace of the Lord Jesus Christ and the love of God and the fellowship of the Holy Spirit be with you all.

"
Eph. 1:11-12,"In him we were also chosen, having been predestined according to the plan of him who works out everything in conformity with the purpose of his will, in order that we, who were the first to put our hope in Christ, might be for the praise of his glory."
Phil. 1:6,"And I am sure of this, that he who began a good work in you will bring it to completion at the day of Jesus Christ."
Phil. 2:13,"For it is God who works in you, both to will and to work for his good pleasure."
Phil. 4:4-7,"Rejoice in the Lord always; again, I will say, rejoice. Let your reasonableness be known to everyone. The Lord is at hand; do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God. And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus.

"
 Phil. 4:13 ,"I can do all things through Christ who strengthens me.


"
Phil. 4:19,And my God will supply every need of yours according to his riches in glory in Christ Jesus.
Col. 1:11,"May you be strengthened with all power, according to his glorious might, for all endurance and patience with joy"
I Thess. 5:24," He who calls you is faithful; he will surely do it.
"
 I Thess. 5:23,And the very God of peace sanctify you wholly; and I pray God your whole spirit and soul and body be preserved blameless unto the coming of our Lord Jesus Christ.
II Thess. 2:16-17 ,"Now our Lord Jesus Christ himself, and God, even our Father, who has loved us, and has given us everlasting encouragement and good hope through grace. Encourage your hearts, and establish you in every good word and work.

"
II Tim. 1:7 ,"For God has not given us the spirit of fear; but of power, and of love, and of a sound mind."
 I Pet. 3:12,"For the eyes of the Lord are over the righteous, and his ears are open unto their prayers: but the face of the Lord is against them that do evil."
I Pet. 5:6,"Humble yourselves, therefore, under God’s mighty hand, that he may lift you up in due time. Cast all your anxiety on him because he cares for you."
3 Jn. 1:2,"Beloved, I pray that all may go well with you and that you may be in good health, as it goes well with your soul."
