"Joshua 1:9","Do not be frightened, and do not be dismayed, for the LORD your God is with you wherever you go."
"Lamentations 3:22-23","The steadfast love of the LORD never ceases; his mercies never come to an end; they are new every morning; great is your faithfulness."
"Proverbs 3:5-6","Trust in the LORD with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths."
"Proverbs 18:10","The name of the LORD is a strong tower; the righteous man runs into it and is safe."
"Psalm 16:8","I have set the LORD always before me; because he is at my right hand, I shall not be shaken."
"Psalm 23:4","Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me."
"Psalm 31:24","Be strong, and let your heart take courage, all you who wait for the LORD!"
"Psalm 46:7","The LORD of hosts is with us; the God of Jacob is our fortress."
"Psalm 55:22","Cast your burden on the LORD, and he will sustain you; he will never permit the righteous to be moved."
"Psalm 62:6","He only is my rock and my salvation, my fortress; I shall not be shaken."
"Psalm 118:14","The LORD is my strength and my song; he has become my salvation."
"Psalm 119:114","You are my hiding place and my shield; I hope in your word."
"Psalm 119:50","This is my comfort in my affliction, that your promise gives me life."
"Psalm 120:1","In my distress I called to the LORD, and he answered me."
"Isaiah 26:3","You keep him in perfect peace whose mind is stayed on you, because he trusts in you."
"Isaiah 40:31","But they who wait for the LORD shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint."
"Isaiah 41:10","Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand."
"Isaiah 43:2","When you pass through the waters, I will be with you; and through the rivers, they shall not overwhelm you; when you walk through fire you shall not be burned, and the flame shall not consume you."
"Matthew 11:28","Come to me, all who labor and are heavy laden, and I will give you rest."
"Mark 10:27","Jesus said, ‘With man it is impossible, but not with God. For all things are possible with God."
"John 16:33","In the world you will have tribulation. But take heart; I have overcome the world."
"2 Corinthians 1:3","Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort, who comforts us in all our affliction"
"1 Thessalonians 5:11","Therefore encourage one another and build one another up."
"Philippians 4:19","And my God will supply every need of yours according to his riches in glory in Christ Jesus."
"1 Peter 5:7","Casting all your anxieties on him, because he cares for you."
"Philippians 4:13","I can do all things through him who strengthens me."
"Deuteronomy 31:6","Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you."
"1 Corinthians 10:13","God is faithful, and he will not let you be tempted beyond your ability."
"Exodus 15:2","The Lord is my strength and my song, and he has become my salvation; this is my God, and I will praise him, my father's God, and I will exalt him."
"Ephesians 6:10","Finally, be strong in the Lord and in the strength of his might."
"Deuteronomy 20:4","For the Lord your God is he who goes with you to fight for you against your enemies, to give you the victory."
"2 Corinthians 12:9","My grace is sufficient for you, for my power is made perfect in weakness."
"2 Timothy 1:7","For God gave us a spirit not of fear but of power and love and self-control."
"Isaiah 12:2","Behold, God is my salvation; I will trust, and will not be afraid; for the Lord God is my strength and my song, and he has become my salvation."
"Isaiah 40:29","He gives power to the faint, and to him who has no might he increases strength."
"Psalm 27:1","The Lord is my light and my salvation; whom shall I fear? The Lord is the stronghold of my life; of whom shall I be afraid?"
"Psalm 73:26","My flesh and my heart may fail, but God is the strength of my heart and my portion forever."
"Psalm 46:1","God is our refuge and strength, a very present help in trouble."
"Psalm 29:11","May the Lord give strength to his people! May the Lord bless his people with peace."
"Matthew 6:33","But seek first the kingdom of God and his righteousness, and all these things will be added to you."
"Numbers 6:24-25","The Lord bless you and keep you; the Lord make his face to shine upon you and be gracious to you; "
"Numbers 6:26","The Lord lift up his countenance upon you and give you peace."
"Ephesians 1:3","Blessed be the God and Father of our Lord Jesus Christ, who has blessed us in Christ with every spiritual blessing in the heavenly places"
"2 Corinthians 9:8","And God is able to make all grace abound to you, so that having all sufficiency in all things at all times, you may abound in every good work."
"James 1:17","Every good gift and every perfect gift is from above, coming down from the Father of lights with whom there is no variation or shadow due to change."
"Jeremiah 17:7","Blessed is the man who trusts in the Lord, whose trust is the Lord."
"John 1:16","And from his fullness we have all received, grace upon grace."
"Jeremiah 29:11","For I know the plans I have for you”, declares the Lord, “plans for welfare and not for evil, to give you a future and a hope."
"Genesis 12:2","And I will make of you a great nation, and I will bless you and make your name great, so that you will be a blessing."
"3 John 1:2","Beloved, I pray that all may go well with you and that you may be in good health, as it goes well with your soul."
"Proverbs 10:22","The blessing of the Lord makes rich, and he adds no sorrow with it."
"Psalm 34:8","Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!"
"James 1:12","Blessed is the man who remains steadfast under trial, for when he has stood the test he will receive the crown of life, which God has promised to those who love him."
"1 Peter 3:9","Do not repay evil for evil or reviling for reviling, but on the contrary, bless, for to this you were called, that you may obtain a blessing."
"Proverbs 16:3","Commit your work to the Lord, and your plans will be established."
"Deuteronomy 28:1","And if you faithfully obey the voice of the Lord your God, being careful to do all his commandments that I command you today, the Lord your God will set you high above all the nations of the earth."
"Deuteronomy 28:2","And all these blessings shall come upon you and overtake you, if you obey the voice of the Lord your God."
"Romans 12:14","Bless those who persecute you; bless and do not curse them."
"Psalm 20:4","May he grant you your heart’s desire and fulfill all your plans"
"Exodus 23:25","You shall serve the Lord your God, and he will bless your bread and your water, and I will take sickness away from among you."
"Matthew 5:9","Blessed are the peacemakers, for they shall be called sons of God."
"2 Corinthians 13:14","The grace of the Lord Jesus Christ and the love of God and the fellowship of the Holy Spirit be with you all."
"Proverbs 16:20","Whoever gives thought to the word will discover good, and blessed is he who trusts in the Lord."
"Matthew 5:6","Blessed are those who hunger and thirst for righteousness, for they shall be satisfied."
"Philemon 1:25","The grace of the Lord Jesus Christ be with your spirit."
"Philippians 4:7","And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus."
"Psalm 67:7","God shall bless us; let all the ends of the earth fear him!"
"Philippians 2:13","For it is God who works in you, both to will and to work for his good purpose."
"Luke 6:45","The good person out of the good treasure of his heart produces good"
"Psalm 33:12","Blessed is the nation whose God is the Lord, the people whom he has chosen as his heritage!"
"Deuteronomy 28:8","The Lord will command the blessing on you in your barns and in all that you undertake. And he will bless you in the land that the Lord your God is giving you."
"Proverbs 16:7","When a man’s ways please the Lord, he makes even his enemies to be at peace with him."
"Psalm 119:2","Blessed are those who keep his testimonies, who seek him with their whole heart,"
"Psalm 1:1","Blessed is the man who walks not in the counsel of the wicked, nor stands in the way of sinners, nor sits in the seat of scoffers"
"Proverbs 10:7","The memory of the righteous is a blessing."
"Psalm 127:5","Blessed is the man who fills his quiver with them! He shall not be put to shame when he speaks with his enemies in the gate."
"Psalm 84:11","For the Lord God is a sun and shield; the Lord bestows favor and honor. No good thing does he withhold from those who walk uprightly"
"Ephesians 3:20","Now to him who is able to do far more abundantly than all that we ask or think, according to the power at work within us"
"Psalm 146:5","Blessed is he whose help is the God of Jacob, whose hope is in the Lord his God"
"Psalm 3:8","Salvation belongs to the Lord; your blessing be on your people."
"Genesis 27:28","May God give you of the dew of heaven and of the richness of the earth"
"Luke 1:37","For nothing will be impossible with God."
"Matthew 25:21","Well done, good and faithful servant. You have been faithful over a little; I will set you over much."
"2 Samuel 22:4","I will call upon the Lord, who is worthy to be praised, and I am saved from my enemies."
"Romans 8:28","And we know that for those who love God all things work together for good, for those who are called according to his purpose."
"Psalm 5:12","For you bless the righteous, O Lord; you cover him with favor as with a shield."
"1 John 5:18","We know that everyone who has been born of God does not keep on sinning, but he who was born of God protects him, and the evil one does not touch him."
"Psalm 90:17","Let the favor of the Lord our God be upon us, and establish the work of our hands upon us."
"Romans 15:13","May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope."
"Ezekiel 34:26","And I will make them and the places all around my hill a blessing, and I will send down the showers in their season; they shall be showers of blessing."
"Isaiah 44:3","I will pour my Spirit upon your offspring, and my blessing on your descendants."
"Habakkuk 3:19","God, the Lord, is my strength; he makes my feet like the deer's; he makes me tread on my high places"
"James 1:5","If any of you lacks wisdom, let him ask God, who gives generously to all without reproach, and it will be given him."
"Zechariah 8:13","O house of Judah and house of Israel, so I will save you, and you shall be a blessing. Fear not, but let your hands be strong."
"Psalm 138:7","Though I walk in the midst of trouble, you preserve my life; you stretch out your hand against the wrath of my enemies, and your right hand delivers me."
"Psalm 29:11","May the Lord give strength to his people! May the Lord bless his people with peace!"
"Matthew 5:5","Blessed are the meek, for they shall inherit the earth."
"Colossians 1:11","May you be strengthened with all power, according to his glorious might, for all endurance and patience with joy."
"Philippians 1:6","And I am sure of this, that he who began a good work in you will bring it to completion at the day of Jesus Christ."
"1 Corinthians 2:9","What no eye has seen, nor ear heard, nor the heart of man imagined, what God has prepared for those who love him"
"Psalm 145:16","You open your hand; you satisfy the desire of every living thing."
"Isaiah 41:10","So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand."
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
